rule;n;n_pos;n_neg;subset;acc;acc_std;rec;rec_std;prec;prec_std;fscore;fscore_std
Unclosed HTML tag found;744;0;744;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Comment matches to-do format 'TODO:'.;744;0;744;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Redundant 'final' modifier.;744;0;744;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Expression can be simplified.;744;0;744;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Extra HTML tag found;744;0;744;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'public' modifier out of order with the JLS suggestions.;744;0;744;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Array brackets at illegal position.;744;0;744;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Unused @param tag;744;0;744;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Unable to get class information for @throws tag;744;0;744;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Any;1488;505;983;0.1;0.9533602150537634;0.0027414083406412737;0.9277227722772279;0.005106454240882232;0.9343902704493502;0.004202664698579963;0.9310389909385284;0.004086793727501794
Line is longer than 80 characters;1488;102;1386;0.1;0.9891129032258064;0.0014032670038858317;0.9401960784313725;0.009249001109859404;0.904873658094742;0.013744611372148384;0.9221478924893077;0.009780504068893962
Line has trailing spaces.;1488;95;1393;0.1;0.978494623655914;0.001310053003334537;0.8042105263157895;0.01894736842105262;0.8510942108364196;0.014797377676418968;0.8267804066145352;0.011283320880696978
'{' should be on the previous line.;1488;148;1340;0.1;0.9993279569892473;0.00042503731991510435;1.0;0.0;0.9933064876957494;0.0042164271885822835;0.9966375161006035;0.002122341218187319
File contains tab characters (this is the first instance).;1488;7;1481;0.1;0.9901881720430106;0.0005376344086021528;0.6571428571428571;0.06998542122237654;0.27360294117647055;0.0224429294223942;0.38607378129117254;0.03322195455799908
