rule;n;n_pos;n_neg;subset;acc;acc_std;rec;rec_std;prec;prec_std;fscore;fscore_std
Unclosed HTML tag found;4968;1;4967;0.3;0.9997987117552334;1.1102230246251565e-16;0.0;0.0;0.0;0.0;0.0;0.0
Comment matches to-do format 'TODO:'.;4968;0;4968;0.3;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Redundant 'final' modifier.;4968;0;4968;0.3;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Expression can be simplified.;4968;0;4968;0.3;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Extra HTML tag found;4968;1;4967;0.3;0.9997181964573267;9.86106981796775e-05;0.0;0.0;0.0;0.0;0.0;0.0
'public' modifier out of order with the JLS suggestions.;4968;0;4968;0.3;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Array brackets at illegal position.;4968;0;4968;0.3;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Unused @param tag;4968;0;4968;0.3;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Unable to get class information for @throws tag;4968;1;4967;0.3;0.9997987117552334;1.1102230246251565e-16;0.0;0.0;0.0;0.0;0.0;0.0
Any;7451;1370;6081;0.4;0.9711313917594955;0.0003817329929761973;0.923868613138686;0.001876636515647073;0.9195119854549558;0.0019697675280970195;0.9216822580504351;0.0010174043552838225
Line is longer than 80 characters;7452;868;6584;0.4;0.9966183574879226;0.00034889962426194466;0.9813364055299539;0.0030827392074331;0.989545968618402;0.0008828478833583996;0.9854211780469655;0.0015251077922601337
Line has trailing spaces.;7451;0;7451;0.4;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'{' should be on the previous line.;7451;0;7451;0.4;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
File contains tab characters (this is the first instance).;7451;45;7406;0.4;0.9900952892229231;0.0003489464501409215;0.39777777777777773;0.018459164139817946;0.2773663637936817;0.01466392908709322;0.3267349596019321;0.01545201909055082
Variable must be private and have accessor methods;7451;3;7448;0.4;0.9997986847403032;6.710508656559977e-05;0.5;0.16666666666666666;1.0;0.0;0.65;0.15000000000000002
Missing a Javadoc comment.;7451;142;7309;0.4;0.999154475909274;0.00014763119044423773;0.9866197183098592;0.006643648684546895;0.9696685307695943;0.008984874302612461;0.9780208552766266;0.0037850278084563685
Parameter should be final;7452;246;7206;0.4;0.9988191089640365;0.00014452938290752894;0.9841463414634146;0.0028455284552845643;0.9801682220781182;0.0027870955146430594;0.982150043091256;0.0021856527250426025
Class designed for extension without Javadoc;7452;60;7392;0.4;0.9962426194310252;0.00018003767934780994;0.7416666666666667;0.011180339887498959;0.7810927486747259;0.017394313940052905;0.7607294410453299;0.010046198170585054
'}' should be on the same line as the next part of a multi-block statement;7452;63;7389;0.4;0.9977187332259796;0.0001470001496256491;0.8587301587301587;0.016571915093508797;0.8697568054191533;0.004724458511205104;0.8641435078679681;0.009728478665147783
Hidden field;7452;91;7361;0.4;0.9944176060118087;0.0003989819846301281;0.7725274725274724;0.009890109890109886;0.7714061374863582;0.022689038404918746;0.771817016256978;0.013869977785406756
Symbol is not followed by whitespace.;7451;1;7450;0.4;0.9998255267749295;6.150282774068504e-05;0.0;0.0;0.0;0.0;0.0;0.0
Name must match pattern '^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$';7452;5;7447;0.4;0.9998658078368224;1.1102230246251565e-16;0.8;0.0;1.0;0.0;0.888888888888889;0.0
Expected @param tag;7452;87;7365;0.4;0.9949812130971551;0.0002261446530643155;0.7977011494252874;0.01641707684722494;0.7780962050897064;0.009717044307668909;0.7876887660253973;0.010436139505019013
Avoid inline conditionals.;7452;29;7423;0.4;0.9998523886205046;4.0257648953301305e-05;0.9620689655172413;0.010344827586206919;1.0;0.0;0.9806390977443608;0.005451127819548851
Symbol is followed by whitespace.;7451;0;7451;0.4;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Symbol is preceded with whitespace.;7452;1;7451;0.4;0.9998389694041869;5.3676865271068404e-05;0.0;0.0;0.0;0.0;0.0;0.0
"switch without ""default"" clause.";7451;0;7451;0.4;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Symbol is not preceded with whitespace.;7452;1;7451;0.4;0.9998658078368224;1.1102230246251565e-16;0.0;0.0;0.0;0.0;0.0;0.0
Unused import;7451;13;7438;0.4;0.9977989531606497;0.0001230056554812974;0.3153846153846153;0.023076923076923078;0.3545454545454546;0.035982854809205815;0.3336666666666666;0.028301943396169794
Expected an @return tag.;7452;86;7366;0.4;0.9961621041331185;0.00038050045299940663;0.8465116279069766;0.02313924272340976;0.8256951724661207;0.01899981945979632;0.8357757996578121;0.01672581936950824
Avoid nested blocks.;7451;0;7451;0.4;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Magic number;7452;3;7449;0.4;0.9993558776167472;8.051529790660261e-05;0.0;0.0;0.0;0.0;0.0;0.0
Symbol should be on a new line.;7452;26;7426;0.4;0.9986714975845411;4.0257648953301305e-05;0.7692307692307693;0.0;0.8369565217391305;0.010869565217391285;0.8016326530612246;0.004897959183673461
File does not end with a newline.;7451;0;7451;0.4;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Redundant 'public' modifier.;7452;3;7449;0.4;0.9998523886205046;4.0257648953301305e-05;0.6666666666666667;1.1102230246251565e-16;0.9666666666666666;0.1;0.7866666666666667;0.04000000000000002
Expected @throws tag;7451;15;7436;0.4;0.9976915850221447;0.00016762845251371626;0.5466666666666666;0.04988876515698587;0.4417752715121136;0.032024503317472336;0.48774891774891777;0.03412565587730091
'static' modifier out of order with the JLS suggestions.;7452;1;7451;0.4;0.9998658078368224;1.1102230246251565e-16;0.0;0.0;0.0;0.0;0.0;0.0
First sentence should end with a period.;7452;15;7437;0.4;0.9996242619431026;5.367686527106841e-05;0.8800000000000001;0.02666666666666666;0.9295238095238096;0.001904761904761898;0.9039080459770114;0.01471264367816092
Redundant 'private' modifier.;7451;0;7451;0.4;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'if' construct must use '{}'s.;7451;0;7451;0.4;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Utility classes should not have a public or default constructor.;7451;0;7451;0.4;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Unknown tag;7451;0;7451;0.4;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Class should be declared as final;7451;0;7451;0.4;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'else' construct must use '{}'s.;7451;0;7451;0.4;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'for' construct must use '{}'s.;7451;0;7451;0.4;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'protected' modifier out of order with the JLS suggestions.;7451;0;7451;0.4;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Method length greater than 150;7451;0;7451;0.4;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Inner assignments should be avoided.;7451;0;7451;0.4;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Unclosed HTML tag found;7451;1;7450;0.4;0.9997315796537377;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Comment matches to-do format 'TODO:'.;7451;0;7451;0.4;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Redundant 'final' modifier.;7451;0;7451;0.4;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Expression can be simplified.;7451;0;7451;0.4;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Extra HTML tag found;7451;1;7450;0.4;0.9998657898268689;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'public' modifier out of order with the JLS suggestions.;7451;0;7451;0.4;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Array brackets at illegal position.;7451;0;7451;0.4;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Unused @param tag;7451;0;7451;0.4;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Unable to get class information for @throws tag;7451;1;7450;0.4;0.9998657898268689;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Any;7451;1370;6081;0.5;0.9709971815863643;0.0005894562140919997;0.9233576642335766;0.0019856161326621256;0.9192732929514845;0.002681282699435267;0.9213074870592362;0.0015453549913866953
Line is longer than 80 characters;7452;868;6584;0.5;0.9967793880837359;0.00018003767934780994;0.9819124423963135;0.0013680117611794926;0.9903569076977922;0.0010328182390764778;0.9861157190781947;0.0007797010898853824
Line has trailing spaces.;7451;0;7451;0.5;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'{' should be on the previous line.;7451;0;7451;0.5;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
File contains tab characters (this is the first instance).;7451;45;7406;0.5;0.9902160783787413;0.00024343520530422584;0.3822222222222222;0.013333333333333341;0.2762278662714744;0.010132219406984078;0.32062052266411645;0.010455315189904307
Variable must be private and have accessor methods;7451;3;7448;0.5;0.9997986847403032;9.003092111798856e-05;0.5;0.22360679774997896;1.0;0.0;0.6399999999999999;0.18000000000000002
Missing a Javadoc comment.;7451;142;7309;0.5;0.9993289491343444;0.0001898018470504972;0.9887323943661972;0.004671302521627317;0.9763787716519623;0.006307830960606534;0.9825100441513681;0.0049327621549142
Parameter should be final;7452;246;7206;0.5;0.998725174449812;0.00018252107499645067;0.9825203252032522;0.003174898242238501;0.978951879703582;0.003897815085311621;0.9807276524748613;0.0027468429189979444
Class designed for extension without Javadoc;7452;60;7392;0.5;0.9962157809983898;0.00011698601566131759;0.7333333333333333;0.010540925533894595;0.7830491698595147;0.010271960362592055;0.7573060873438026;0.007448671864051538
'}' should be on the same line as the next part of a multi-block statement;7452;63;7389;0.5;0.9976918947933442;0.00014452938290752894;0.8523809523809524;0.010163689265766412;0.8717609730301428;0.008551539729664845;0.8619483870967741;0.008776365954975348
Hidden field;7452;91;7361;0.5;0.994524959742351;0.000197221396359355;0.7703296703296703;0.0076923076923077005;0.7791415396731215;0.01306650533692065;0.7746204046478459;0.006669131062634388
Symbol is not followed by whitespace.;7451;1;7450;0.5;0.9998523688095557;4.026305193935987e-05;0.0;0.0;0.0;0.0;0.0;0.0
Name must match pattern '^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$';7452;5;7447;0.5;0.9998658078368224;1.1102230246251565e-16;0.8;0.0;1.0;0.0;0.888888888888889;0.0
Expected @param tag;7452;87;7365;0.5;0.9950751476113794;0.00025496511003757493;0.8022988505747126;0.016893032708849485;0.7817476330570722;0.011634177849177888;0.791789546758931;0.011243295635643765
Avoid inline conditionals.;7452;29;7423;0.5;0.9998658078368224;1.1102230246251565e-16;0.9655172413793103;1.1102230246251565e-16;1.0;0.0;0.982456140350877;1.1102230246251565e-16
Symbol is followed by whitespace.;7451;0;7451;0.5;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Symbol is preceded with whitespace.;7452;1;7451;0.5;0.999825550187869;6.149457454315432e-05;0.0;0.0;0.0;0.0;0.0;0.0
"switch without ""default"" clause.";7451;0;7451;0.5;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Symbol is not preceded with whitespace.;7452;1;7451;0.5;0.9998658078368224;1.1102230246251565e-16;0.0;0.0;0.0;0.0;0.0;0.0
Unused import;7451;13;7438;0.5;0.9977855321433365;6.710508656554426e-05;0.30769230769230765;5.551115123125783e-17;0.3484848484848485;0.015151515151515166;0.32666666666666666;0.006666666666666682
Expected an @return tag.;7452;86;7366;0.5;0.9960279119699409;0.0003242900153943807;0.8406976744186047;0.022696768948771078;0.8198625041067056;0.01389593982274459;0.8299907714639467;0.014672538174276044
Avoid nested blocks.;7451;0;7451;0.5;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Magic number;7452;3;7449;0.5;0.999302200751476;0.00010042021972018138;0.0;0.0;0.0;0.0;0.0;0.0
Symbol should be on a new line.;7452;26;7426;0.5;0.9986580783682232;6.0012559782603315e-05;0.7692307692307693;0.0;0.8336231884057972;0.01556605400822903;0.8000640256102441;0.0071594260736585836
File does not end with a newline.;7451;0;7451;0.5;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Redundant 'public' modifier.;7452;3;7449;0.5;0.9998658078368224;1.1102230246251565e-16;0.6666666666666667;1.1102230246251565e-16;1.0;0.0;0.8;0.0
Expected @throws tag;7451;15;7436;0.5;0.9978123741779628;0.00015936575073196627;0.5533333333333333;0.04268749491621898;0.46452184382524947;0.03316289412387387;0.5044674996098145;0.033017973752680486
'static' modifier out of order with the JLS suggestions.;7452;1;7451;0.5;0.9998658078368224;1.1102230246251565e-16;0.0;0.0;0.0;0.0;0.0;0.0
First sentence should end with a period.;7452;15;7437;0.5;0.999597423510467;6.0012559782603315e-05;0.8733333333333334;0.019999999999999997;0.9228571428571429;0.01878388849839621;0.8972413793103448;0.014970795544979248
Redundant 'private' modifier.;7451;0;7451;0.5;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'if' construct must use '{}'s.;7451;0;7451;0.5;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Utility classes should not have a public or default constructor.;7451;0;7451;0.5;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Unknown tag;7451;0;7451;0.5;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Class should be declared as final;7451;0;7451;0.5;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'else' construct must use '{}'s.;7451;0;7451;0.5;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'for' construct must use '{}'s.;7451;0;7451;0.5;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'protected' modifier out of order with the JLS suggestions.;7451;0;7451;0.5;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Method length greater than 150;7451;0;7451;0.5;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Inner assignments should be avoided.;7451;0;7451;0.5;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Unclosed HTML tag found;7451;1;7450;0.5;0.9997315796537377;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Comment matches to-do format 'TODO:'.;7451;0;7451;0.5;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Redundant 'final' modifier.;7451;0;7451;0.5;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Expression can be simplified.;7451;0;7451;0.5;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Extra HTML tag found;7451;1;7450;0.5;0.9998121057576164;6.574928849240555e-05;0.0;0.0;0.0;0.0;0.0;0.0
'public' modifier out of order with the JLS suggestions.;7451;0;7451;0.5;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Array brackets at illegal position.;7451;0;7451;0.5;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Unused @param tag;7451;0;7451;0.5;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Unable to get class information for @throws tag;7451;1;7450;0.5;0.9998657898268689;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Any;14902;2740;12162;1;0.9779828210978392;0.0004692080554667393;0.9439781021897812;0.0014064123261312237;0.9367651140642946;0.0014051720838843956;0.940357391230161;0.0012703462401957093
Line is longer than 80 characters;14902;1735;13167;1;0.9988860555630117;7.472506190886416e-05;0.9951585014409222;0.0006418172176173049;0.9952736049189511;0.0004988902004324816;0.9952158215689023;0.0003215384582193897
Line has trailing spaces.;14902;0;14902;1;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'{' should be on the previous line.;14902;0;14902;1;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
File contains tab characters (this is the first instance).;14902;90;14812;1;0.9889276607166823;0.00013421017313111627;0.4033333333333333;0.01927705730321942;0.2458417867518449;0.008718832027414138;0.30546497542150025;0.012162283182963439
Variable must be private and have accessor methods;14902;6;14896;1;0.9997315796537377;0.0;0.6666666666666667;1.1102230246251565e-16;0.6666666666666667;1.1102230246251565e-16;0.6666666666666667;1.1102230246251565e-16
Missing a Javadoc comment.;14902;284;14618;1;0.9995705274459805;8.593644124858185e-05;0.98943661971831;0.0031493915176053337;0.9880551585573316;0.0031853700504839936;0.9887403900866862;0.0022524525097960026
Parameter should be final;14902;491;14411;1;0.9992148704871828;7.381559522211938e-05;0.9910386965376782;0.0009977554960420435;0.9852238291079891;0.0020054057841697036;0.9881213996346816;0.001108288654733406
Class designed for extension without Javadoc;14902;119;14783;1;0.9987518453898806;8.052610387867347e-05;0.9319327731092437;0.011552711836023116;0.9135870588396531;0.006519020348210288;0.9226056487342966;0.0053067814673666315
'}' should be on the same line as the next part of a multi-block statement;14902;125;14777;1;0.9984028989397398;0.00014640601415428895;0.9456;0.009991996797437395;0.8743744933931478;0.01096028667070442;0.9085447887832336;0.008219415670957707
Hidden field;14902;181;14721;1;0.9952489598711581;0.00024157831163601238;0.8414364640883978;0.007832843579424213;0.7837453187677053;0.014790555114788053;0.8114619154954055;0.007994323946238837
Symbol is not followed by whitespace.;14902;2;14900;1;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0
Name must match pattern '^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$';14902;9;14893;1;0.9998322372835862;3.3552543282799885e-05;0.888888888888889;1.1102230246251565e-16;0.8444444444444444;0.0444444444444444;0.8654970760233918;0.02339181286549702
Expected @param tag;14902;173;14729;1;0.9957589585290565;0.00018693314021183907;0.8138728323699421;0.013382470407849976;0.8196579301873186;0.009458811426200042;0.8166776550523073;0.008511374970155439
Avoid inline conditionals.;14902;57;14845;1;0.9998389477922428;3.2874644246202776e-05;0.982456140350877;1.1102230246251565e-16;0.9756805807622504;0.008298331856978656;0.9790389016018306;0.0041852456322153545
Symbol is followed by whitespace.;14902;0;14902;1;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
